country,year,solar_electricity,Photovoltaics [TWh] Calculated resolutions,Photovoltaics [MW] Original resolutions,solar_waste,solar_electricity_s,waste_mass
Germany,2070,151.50,139.82,153079.94,131.53,131.53,458187.86
Germany,2071,151.50,139.82,153079.94,135.88,135.88,473331.92
Germany,2072,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2073,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2074,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2075,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2076,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2077,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2078,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2079,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2080,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2081,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2082,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2083,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2084,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2085,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2086,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2087,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2088,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2089,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2090,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2091,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2092,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2093,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2094,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2095,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2096,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2097,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2098,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2099,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2100,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2101,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2102,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2103,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2104,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2105,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2106,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2107,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2108,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2109,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2110,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2111,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2112,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2113,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2114,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2115,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2116,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2117,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2118,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2119,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2120,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2121,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2122,151.50,139.82,153079.94,139.82,139.82,487068.06
Germany,2123,151.50,139.82,153079.94,139.82,139.82,487068.06
